control_id,control_name,group,domain_or_lens,normalized_severity,catalog_severity,applicability_for_fnnlr,gateforge_status,evidence_summary,source_required_evidence,fail_condition
D0-CEO-FOUNDER-EXECUTIV-011,AI/API cost budget awareness,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-012,Support capacity,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PASS,Commercial/support docs provide repo evidence.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-013,Escalation responsibility,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-014,Customer communication ownership,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-015,Decision log,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-016,Accepted risks register,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-017,Founder pre-brief,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-018,Human attestation for strategy,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-019,Go-to-market assumptions,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D0-CEO-FOUNDER-EXECUTIV-020,Post-launch review cadence,CEO Founder Executive Readiness,D0,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-001,Product definition,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-002,Core use case,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-003,Main user problem,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-004,Target customer ICP,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-005,Human attestation for ICP,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-006,Market positioning,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-007,Competitive differentiation,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-008,MVP scope,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-009,Feature completeness,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-010,Feature prioritization,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-011,Pricing model,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-012,Packages and plans,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-013,Plan limits,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-014,Upgrade path,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-015,Trial or freemium logic,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-016,Commercial flow,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PASS,Commercial/support docs provide repo evidence.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-017,Sales demo readiness,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PASS,Commercial/support docs provide repo evidence.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-018,Pricing page clarity,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-019,Conversion readiness,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D1-PRODUCT-COMMERCIAL-R-020,Product value statement,Product Commercial Readiness,D1,P1,P1/P2; strategic claims are NOT_INSPECTABLE unless supported by market evidence,applicable,PARTIAL,AI package exists; hard cost/safety/eval evidence incomplete.,founder pre-brief; pricing/plans; demo script; usage or customer evidence if available; decision log; risk acceptance register,"The team cannot explain the product, target user, launch owner, risk owner, pricing, or next-stage plan clearly enough to execute launch."
D2-WEB-DESIGN-READINESS-001,Landing page quality,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-002,Above-the-fold clarity,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-003,Hero section message,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-004,CTA clarity,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-005,Visual trust,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-006,Brand professionalism,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-007,Typography,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-008,Color system,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-009,Layout consistency,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-010,Responsive design,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-011,Mobile experience,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-012,Pricing page design,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-013,Demo page design,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-014,Contact or book-demo flow,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-015,Public website navigation,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-016,Footer trust elements,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-017,Terms and privacy links,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,PARTIAL,Draft docs exist; final legal approval/publication evidence missing.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-018,Page speed,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-019,Image optimization,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-WEB-DESIGN-READINESS-020,SEO-friendly page structure,Web Design Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,PARTIAL,Applicable growth domain; not a standalone GA blocker.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-001,User journey clarity,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-002,Signup flow,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-003,Login flow,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-004,Password reset flow,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-005,First login experience,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
D2-UX-READINESS-006,Onboarding flow,UX Readiness,D2,P1,"P2 default; P1 when it blocks activation, conversion, accessibility, or public launch credibility",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots or demo; user journey walkthrough; mobile/desktop captures; accessibility/performance checks; copy and error-state examples,"Users cannot understand, trust, or complete the core action due to design, UX, UI, or localization failures."
